Date,ZHVI,MORTGAGE30US,ZHVI_Lag1,Rate_Lag1,Target_Next_Month_ZHVI
2023-02-01,860828.179703443,6.2575,871753.4623845398,6.2725,851042.3088252265
2023-03-01,851042.3088252265,6.544,860828.179703443,6.2575,848660.4883834686
2023-04-01,848660.4883834686,6.342499999999999,851042.3088252265,6.544,852450.9808163863
2023-05-01,852450.9808163863,6.425,848660.4883834686,6.342499999999999,860263.1184698632
2023-06-01,860263.1184698632,6.714,852450.9808163863,6.425,871493.4589238497
2023-07-01,871493.4589238497,6.84,860263.1184698632,6.714,885081.2020503221
2023-08-01,885081.2020503221,7.072,871493.4589238497,6.84,898800.6802714589
2023-09-01,898800.6802714589,7.2,885081.2020503221,7.072,910215.4015771372
2023-10-01,910215.4015771372,7.62,898800.6802714589,7.2,918805.6096353972
2023-11-01,918805.6096353972,7.442,910215.4015771372,7.62,924199.845689096
2023-12-01,924199.845689096,6.815,918805.6096353972,7.442,924353.8018491688
2024-01-01,924353.8018491688,6.6425,924199.845689096,6.815,921393.442906942
2024-02-01,921393.442906942,6.776000000000001,924353.8018491688,6.6425,920273.7761765352
2024-03-01,920273.7761765352,6.82,921393.442906942,6.776000000000001,923752.4430489696
2024-04-01,923752.4430489696,6.9925,920273.7761765352,6.82,929666.0976906238
2024-05-01,929666.0976906238,7.06,923752.4430489696,6.9925,933634.2034682198
2024-06-01,933634.2034682198,6.9175,929666.0976906238,7.06,938027.1640815294
2024-07-01,938027.1640815294,6.8475,933634.2034682198,6.9175,943232.792216848
2024-08-01,943232.792216848,6.5,938027.1640815294,6.8475,949681.5299328458
2024-09-01,949681.5299328458,6.18,943232.792216848,6.5,954923.878447094
2024-10-01,954923.878447094,6.428,949681.5299328458,6.18,959440.7091996894
2024-11-01,959440.7091996894,6.805,954923.878447094,6.428,963478.0656940473
2024-12-01,963478.0656940473,6.715,959440.7091996894,6.805,964015.904711712
2025-01-01,964015.904711712,6.958,963478.0656940473,6.715,961986.8000472815
2025-02-01,961986.8000472815,6.842499999999999,964015.904711712,6.958,956891.1223500372
2025-03-01,956891.1223500372,6.65,961986.8000472815,6.842499999999999,952574.7654241164
2025-04-01,952574.7654241164,6.725,956891.1223500372,6.65,947802.3905881704
2025-05-01,947802.3905881704,6.816,952574.7654241164,6.725,943448.9922966966
2025-06-01,943448.9922966966,6.8175,947802.3905881704,6.816,940857.2647842808
2025-07-01,940857.2647842808,6.720000000000001,943448.9922966966,6.8175,939786.1053923952
2025-08-01,939786.1053923952,6.5875,940857.2647842808,6.720000000000001,940842.7015407588
2025-09-01,940842.7015407588,6.3525,939786.1053923952,6.5875,943258.5655129114
2025-10-01,943258.5655129114,6.254,940842.7015407588,6.3525,946575.4922974302
2025-11-01,946575.4922974302,6.2375,943258.5655129114,6.254,950534.8113182269
2025-12-01,950534.8113182269,6.1899999999999995,946575.4922974302,6.2375,953064.414891206
2026-01-01,953064.414891206,6.1025,950534.8113182269,6.1899999999999995,954296.0881354932
